Team,Player,Position
Southampton FC,Nathan Redmond,Right Winger
Southampton FC,Josh Sims,Right Winger
Southampton FC,Lloyd Isgrove,Right Winger
Southampton FC,Olufela Olomola,Right Winger
Southampton FC,Manolo Gabbiadini,Centre-Forward
Southampton FC,Charlie Austin,Centre-Forward
Southampton FC,Jay Rodríguez,Centre-Forward
Southampton FC,Shane Long,Centre-Forward
Southampton FC,Sam Gallagher,Centre-Forward
Leicester City,Kasper Schmeichel,Goalkeeper
Leicester City,Ron-Robert Zieler,Goalkeeper
Leicester City,Ben Hamer,Goalkeeper
Leicester City,Robert Huth,Centre-Back
Leicester City,Daniel Amartey,Centre-Back
Leicester City,Luis Hernández,Centre-Back
Leicester City,Wes Morgan,Centre-Back
Leicester City,Molla Wagué,Centre-Back
Leicester City,Yohan Benalouane,Centre-Back
Leicester City,Marcin Wasilewski,Centre-Back
Leicester City,Elliott Moore,Centre-Back
Leicester City,Christian Fuchs,Left-Back
Leicester City,Ben Chilwell,Left-Back
Leicester City,Danny Simpson,Right-Back
Leicester City,Wilfred Ndidi,Defensive Midfield
Leicester City,Nampalys Mendy,Defensive Midfield
Leicester City,Danny Drinkwater,Central Midfield
Leicester City,Andy King,Central Midfield
Leicester City,Matty James,Central Midfield
Leicester City,Marc Albrighton,Right Midfield
Leicester City,Jeffrey Schlupp,Left Midfield
Leicester City,Bartosz Kapustka,Attacking Midfield
Leicester City,Tom Lawrence,Attacking Midfield
Leicester City,Ahmed Musa,Left Winger
Leicester City,Demarai Gray,Left Winger
Leicester City,Harvey Barnes,Left Winger
Leicester City,Riyad Mahrez,Right Winger
Leicester City,Islam Slimani,Centre-Forward
Leicester City,Jamie Vardy,Centre-Forward
Leicester City,Shinji Okazaki,Centre-Forward
Leicester City,Leonardo Ulloa,Centre-Forward
Stoke City,Jack Butland,Goalkeeper
Stoke City,Lee Grant,Goalkeeper
Stoke City,Jakob Haugaard,Goalkeeper
Stoke City,Shay Given,Goalkeeper
Stoke City,Daniel Bachmann,Goalkeeper
Stoke City,Bruno Martins Indi,Centre-Back
Stoke City,Ryan Shawcross,Centre-Back
Stoke City,Erik Pieters,Centre-Back
Stoke City,Marc Muniesa,Centre-Back
Stoke City,Geoff Cameron,Centre-Back
Stoke City,Philipp Wollscheid,Centre-Back
Stoke City,Ryan Sweeney,Centre-Back
AFC Bournemouth,Simon Francis,Right-Back
AFC Bournemouth,Jordan Lee,Right-Back
AFC Bournemouth,Marc Pugh,Left Winger
AFC Bournemouth,Jordon Ibe,Right Winger
AFC Bournemouth,Benik Afobe,Centre-Forward
AFC Bournemouth,Callum Wilson,Centre-Forward
AFC Bournemouth,Joshua King,Centre-Forward
AFC Bournemouth,Lys Mousset,Centre-Forward
AFC Bournemouth,Harry Cornick,Centre-Forward
AFC Bournemouth,Lewis Grabban,Centre-Forward
AFC Bournemouth,Sam Surridge,Centre-Forward
Manchester United,Guillermo Varela,Right-Back
Manchester United,Anthony Martial,Centre-Forward
Manchester United,Memphis Depay,Centre-Forward
Manchester United,Wayne Rooney,Centre-Forward
Manchester United,Zlatan Ibrahimović,Centre-Forward
Manchester United,James Wilson,Centre-Forward
Manchester United,Zak Dearnley,Centre-Forward
Liverpool FC,Simon Mignolet,Goalkeeper
Liverpool FC,Danny Ward,Goalkeeper
Liverpool FC,Connor Randall,Right-Back
Liverpool FC,Adam Lallana,Attacking Midfield
Liverpool FC,Sadio Mané,Left Winger
Liverpool FC,Lazar Markovic,Right Winger
Liverpool FC,Sheyi Ojo,Right Winger
Liverpool FC,Roberto Firmino,Centre-Forward
Liverpool FC,Divock Origi,Centre-Forward
Liverpool FC,Rhian Brewster,Centre-Forward
Everton FC,Mateusz Hewelt,Goalkeeper
Everton FC,Jonjoe Kenny,Right-Back
Everton FC,Ademola Lookman,Second Striker
Everton FC,Shani Tarashaj,Second Striker
Everton FC,Romelu Lukaku,Centre-Forward
Everton FC,Gerard Deulofeu,Centre-Forward
Everton FC,Enner Valencia,Centre-Forward
Everton FC,Oumar Niasse,Centre-Forward
Everton FC,Dominic Calvert-Lewin,Centre-Forward
Everton FC,Arouna Koné,Centre-Forward
Everton FC,Leandro Rodríguez,Centre-Forward
Everton FC,Conor McAleny,Centre-Forward
West Ham United,Adrián,Goalkeeper
West Ham United,Darren Randolph,Goalkeeper
West Ham United,Raphael Spiegel,Goalkeeper
West Ham United,Álvaro Arbeloa,Right-Back
West Ham United,Sam Westley,Right-Back
West Ham United,Sofiane Feghouli,Defensive Midfield
West Ham United,Grady Diangana,Right Winger
West Ham United,André Ayew,Centre-Forward
West Ham United,Michail Antonio,Centre-Forward
West Ham United,Simone Zaza,Centre-Forward
West Ham United,Enner Valencia,Centre-Forward
West Ham United,Andy Carroll,Centre-Forward
West Ham United,Diafra Sakho,Centre-Forward
West Ham United,Jonathan Calleri,Centre-Forward
West Ham United,Ashley Fletcher,Centre-Forward
Sunderland AFC,Bryan Oviedo,Left-Back
Sunderland AFC,Javier Manquillo,Right-Back
Sunderland AFC,Josh Robson,Right-Back
Sunderland AFC,Didier Ndong,Defensive Midfield
Sunderland AFC,Lee Cattermole,Defensive Midfield
Sunderland AFC,Sebastian Larsson,Central Midfield
Sunderland AFC,Darron Gibson,Central Midfield
Sunderland AFC,Ethan Robson,Central Midfield
Sunderland AFC,Steven Pienaar,Left Midfield
Sunderland AFC,Rees Greenwood,Attacking Midfield
Sunderland AFC,Fabio Borini,Left Winger
Sunderland AFC,Adnan Januzaj,Right Winger
Sunderland AFC,Duncan Watmore,Right Winger
Sunderland AFC,Will Buckley,Right Winger
Sunderland AFC,Lynden Gooch,Right Winger
Sunderland AFC,Josh Maja,Centre-Forward
Burnley FC,Tom Heaton,Goalkeeper
Burnley FC,Nick Pope,Goalkeeper
Burnley FC,Paul Robinson,Goalkeeper
Burnley FC,Michael Keane,Centre-Back
Burnley FC,Ben Mee,Centre-Back
Burnley FC,James Tarkowski,Centre-Back
Burnley FC,Kevin Long,Centre-Back
Burnley FC,Tom Anderson,Centre-Back
Burnley FC,Stephen Ward,Left-Back
Burnley FC,Danny Lafferty,Left-Back
Burnley FC,Jon Flanagan,Right-Back
Burnley FC,Matthew Lowton,Right-Back
Burnley FC,Tendayi Darikwa,Right-Back
Burnley FC,Brad Jackson,Right-Back
Burnley FC,Steven Defour,Defensive Midfield
Burnley FC,Ashley Westwood,Defensive Midfield
Burnley FC,Aiden O'Neill,Defensive Midfield
Burnley FC,Jeff Hendrick,Central Midfield
Burnley FC,Scott Arfield,Central Midfield
Burnley FC,David Jones,Central Midfield
Burnley FC,Dean Marney,Central Midfield
Burnley FC,Joey Barton,Central Midfield
Burnley FC,Robbie Brady,Left Midfield
Burnley FC,Fredrik Ulvestad,Attacking Midfield
Burnley FC,George Boyd,Left Winger
Burnley FC,Michael Kightly,Left Winger
Burnley FC,Jóhann Berg Gudmundsson,Right Winger
Burnley FC,Sam Vokes,Centre-Forward
Burnley FC,Ashley Barnes,Centre-Forward
Burnley FC,Rouwen Hennings,Centre-Forward
