Team,Player,Position
Stoke City,Shay Given,Goalkeeper
Stoke City,Daniel Bachmann,Goalkeeper
Stoke City,Bruno Martins Indi,Defender
Stoke City,Ryan Shawcross,Defender
Stoke City,Erik Pieters,Defender
Stoke City,Marc Muniesa,Defender
Stoke City,Geoff Cameron,Defender
Stoke City,Philipp Wollscheid,Defender
Stoke City,Ryan Sweeney,Defender
AFC Bournemouth,Simon Francis,Defender
AFC Bournemouth,Jordan Lee,Defender
AFC Bournemouth,Marc Pugh,Midfielder
AFC Bournemouth,Jordon Ibe,Midfielder
AFC Bournemouth,Benik Afobe,Forward
AFC Bournemouth,Callum Wilson,Forward
AFC Bournemouth,Joshua King,Forward
AFC Bournemouth,Lys Mousset,Forward
AFC Bournemouth,Harry Cornick,Forward
AFC Bournemouth,Lewis Grabban,Forward
AFC Bournemouth,Sam Surridge,Forward
Manchester United,Guillermo Varela,Defender
Manchester United,Anthony Martial,Forward
Manchester United,Memphis Depay,Forward
Manchester United,Wayne Rooney,Forward
Manchester United,Zlatan Ibrahimović,Forward
Manchester United,James Wilson,Forward
Manchester United,Zak Dearnley,Forward
Liverpool FC,Simon Mignolet,Goalkeeper
Liverpool FC,Danny Ward,Goalkeeper
Liverpool FC,Connor Randall,Defender
Liverpool FC,Adam Lallana,Midfielder
Liverpool FC,Sadio Mané,Midfielder
Liverpool FC,Lazar Markovic,Midfielder
Liverpool FC,Sheyi Ojo,Midfielder
Liverpool FC,Roberto Firmino,Forward
Liverpool FC,Divock Origi,Forward
Liverpool FC,Rhian Brewster,Forward
Everton FC,Mateusz Hewelt,Goalkeeper
Everton FC,Jonjoe Kenny,Defender
Everton FC,Ademola Lookman,Forward
Everton FC,Shani Tarashaj,Forward
Everton FC,Romelu Lukaku,Forward
Everton FC,Gerard Deulofeu,Forward
Everton FC,Enner Valencia,Forward
Everton FC,Oumar Niasse,Forward
Everton FC,Dominic Calvert-Lewin,Forward
Everton FC,Arouna Koné,Forward
Everton FC,Leandro Rodríguez,Forward
Everton FC,Conor McAleny,Forward
