team,player,event_type,reason,start_date,end_date,days,url
Manchester City,Oleksandr Zinchenko,injury,Calf strain,2016-12-19,2017-01-21,34 days,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Oleksandr Zinchenko,injury,Knock,2016-08-26,2016-09-26,32 days,https://www.transfermarkt.co.uk/oleksandr-zinchenko/profil/spieler/203853
Manchester City,Jesús Navas,none,,,,,https://www.transfermarkt.co.uk/jesus-navas/profil/spieler/15956
Manchester City,Bacary Sagna,injury,Groin strain,2017-03-19,2017-06-30,104 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,Bacary Sagna,injury,Hamstring injury,2016-10-12,2016-11-18,38 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,Bacary Sagna,injury,muscular problems,2016-08-17,2016-09-09,24 days,https://www.transfermarkt.co.uk/bacary-sagna/profil/spieler/26764
Manchester City,Fernandinho,injury,Knock,2016-11-02,2016-11-04,3 days,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/26267
Manchester City,Fernandinho,suspension,Red card suspension,2017-01-03,2017-02-02,31 days,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/26267
Manchester City,Fernandinho,suspension,Red card suspension,2016-12-05,2016-12-19,15 days,https://www.transfermarkt.co.uk/fernandinho/profil/spieler/26267
Manchester City,Fernando,none,,,,,https://www.transfermarkt.co.uk/fernando/profil/spieler/51174
Manchester City,İlkay Gündoğan,injury,Cruciate ligament tear,2016-12-15,2017-08-13,242 days,https://www.transfermarkt.co.uk/ilkay-gundogan/profil/spieler/53622
Manchester City,İlkay Gündoğan,injury,Dislocation of the kneecap,2016-05-02,2016-09-12,134 days,https://www.transfermarkt.co.uk/ilkay-gundogan/profil/spieler/53622
Manchester City,Fabian Delph,injury,Muscle injury,2016-09-01,2017-01-05,127 days,https://www.transfermarkt.co.uk/fabian-delph/profil/spieler/50362
Manchester City,Aleix García,none,,,,,https://www.transfermarkt.co.uk/aleix-garcia/profil/spieler/261504
Manchester City,Kevin De Bruyne,injury,Groin injury,2017-03-24,2017-03-31,8 days,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755
Manchester City,Kevin De Bruyne,injury,Calf injury,2016-10-23,2016-10-28,6 days,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755
Manchester City,Kevin De Bruyne,injury,Hamstring injury,2016-09-25,2016-10-14,20 days,https://www.transfermarkt.co.uk/kevin-de-bruyne/profil/spieler/88755
Manchester City,David Silva,none,,,,,https://www.transfermarkt.co.uk/david-silva/profil/spieler/35518
Manchester City,Samir Nasri,injury,muscular problems,2017-05-06,2017-05-31,26 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,Muscle injury,2017-04-06,2017-04-27,22 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,muscular problems,2017-01-20,2017-01-25,6 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,Achilles tendon problems,2016-11-07,2016-12-05,29 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,Achilles tendon problems,2016-10-31,2016-11-03,4 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Samir Nasri,injury,ankle sprain,2016-09-12,2016-09-19,8 days,https://www.transfermarkt.co.uk/samir-nasri/profil/spieler/18935
Manchester City,Nolito,suspension,Red card suspension,2016-09-17,2016-10-03,17 days,https://www.transfermarkt.co.uk/nolito/profil/spieler/70934
Manchester City,Raheem Sterling,injury,Calf strain,2016-10-03,2016-10-14,12 days,https://www.transfermarkt.co.uk/raheem-sterling/profil/spieler/134425
Manchester City,Leroy Sané,injury,Muscle injury,2016-12-15,2017-01-16,33 days,https://www.transfermarkt.co.uk/leroy-sane/profil/spieler/192565
Manchester City,Leroy Sané,injury,Hamstring injury,2016-08-04,2016-09-05,33 days,https://www.transfermarkt.co.uk/leroy-sane/profil/spieler/192565
Manchester City,Brahim Díaz,none,,,,,https://www.transfermarkt.co.uk/brahim-diaz/profil/spieler/314678
Manchester City,Phil Foden,none,,,,,https://www.transfermarkt.co.uk/phil-foden/profil/spieler/406635
Manchester City,Sergio Agüero,injury,muscular problems,2016-08-29,2016-09-12,15 days,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399
Manchester City,Sergio Agüero,suspension,Red card suspension,2016-12-04,2016-12-27,24 days,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399
Manchester City,Sergio Agüero,suspension,Suspension through sports court,2016-09-05,2016-09-17,13 days,https://www.transfermarkt.co.uk/sergio-aguero/profil/spieler/26399
Manchester City,Gabriel Jesus,injury,Metatarsal fracture,2017-02-16,2017-04-24,68 days,https://www.transfermarkt.co.uk/gabriel-jesus/profil/spieler/363205
Manchester City,Gabriel Jesus,suspension,special leave,2017-01-02,2017-01-19,18 days,https://www.transfermarkt.co.uk/gabriel-jesus/profil/spieler/363205
Manchester City,Gabriel Jesus,suspension,Olympic games,2016-07-18,2016-08-22,36 days,https://www.transfermarkt.co.uk/gabriel-jesus/profil/spieler/363205
Manchester City,Wilfried Bony,none,,,,,https://www.transfermarkt.co.uk/wilfried-bony/profil/spieler/81808
Manchester City,Kelechi Iheanacho,none,,,,,https://www.transfermarkt.co.uk/kelechi-iheanacho/profil/spieler/295330
Tottenham Hotspur,Hugo Lloris,injury,Hamstring injury,2016-08-15,2016-09-15,32 days,https://www.transfermarkt.co.uk/hugo-lloris/profil/spieler/17965
Tottenham Hotspur,Michel Vorm,none,,,,,https://www.transfermarkt.co.uk/michel-vorm/profil/spieler/26276
Tottenham Hotspur,Pau López,none,,,,,https://www.transfermarkt.co.uk/pau-lopez/profil/spieler/286415
Tottenham Hotspur,Luke McGee,none,,,,,https://www.transfermarkt.co.uk/luke-mcgee/profil/spieler/183301
Tottenham Hotspur,Alfie Whiteman,none,,,,,https://www.transfermarkt.co.uk/alfie-whiteman/profil/spieler/282823
Tottenham Hotspur,Toby Alderweireld,injury,Knee injury,2016-10-17,2016-12-01,46 days,https://www.transfermarkt.co.uk/toby-alderweireld/profil/spieler/42710
Tottenham Hotspur,Jan Vertonghen,injury,Ankle injury,2017-01-14,2017-02-18,36 days,https://www.transfermarkt.co.uk/jan-vertonghen/profil/spieler/43250
Tottenham Hotspur,Jan Vertonghen,suspension,Yellow card suspension,2016-12-29,2017-01-02,5 days,https://www.transfermarkt.co.uk/jan-vertonghen/profil/spieler/43250
Tottenham Hotspur,Eric Dier,injury,unknown injury,2016-09-18,2016-10-02,15 days,https://www.transfermarkt.co.uk/eric-dier/profil/spieler/175722
Tottenham Hotspur,Ben Davies,injury,Ankle injury,2016-10-31,2016-12-12,43 days,https://www.transfermarkt.co.uk/ben-davies/profil/spieler/192765
Tottenham Hotspur,Federico Fazio,injury,Calf problems,2016-11-02,2016-11-05,4 days,https://www.transfermarkt.co.uk/federico-fazio/profil/spieler/45314
Tottenham Hotspur,Kevin Wimmer,injury,Hamstring injury,2016-08-10,2016-08-20,11 days,https://www.transfermarkt.co.uk/kevin-wimmer/profil/spieler/122675
Tottenham Hotspur,Cameron Carter-Vickers,injury,Knee injury,2017-04-13,2017-04-30,18 days,https://www.transfermarkt.co.uk/cameron-carter-vickers/profil/spieler/341049
Tottenham Hotspur,Anton Walkes,none,,,,,https://www.transfermarkt.co.uk/anton-walkes/profil/spieler/307763
Tottenham Hotspur,Danny Rose,injury,Knee medial ligament tear,2017-01-30,2017-10-17,261 days,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174
Tottenham Hotspur,Danny Rose,injury,Hamstring injury,2016-09-05,2016-10-03,29 days,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174
Tottenham Hotspur,Danny Rose,suspension,Yellow card suspension,2016-11-20,2016-11-27,8 days,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174
Tottenham Hotspur,Kyle Walker,injury,Ankle injury,2017-05-15,2017-06-01,18 days,https://www.transfermarkt.co.uk/kyle-walker/profil/spieler/95424
Tottenham Hotspur,Kyle Walker,suspension,Yellow card suspension,2016-12-29,2017-01-02,5 days,https://www.transfermarkt.co.uk/kyle-walker/profil/spieler/95424
Tottenham Hotspur,Kieran Trippier,none,,,,,https://www.transfermarkt.co.uk/kieran-trippier/profil/spieler/95810
