team,player,event_type,reason,start_date,end_date,days,url
Crystal Palace,Jonathan Benteke,injury,Knee injury,2016-09-29,2017-01-29,123 days,https://www.transfermarkt.co.uk/jonathan-benteke/profil/spieler/273773
Crystal Palace,Kwesi Appiah,injury,Cruciate ligament tear,2015-06-04,2016-10-12,497 days,https://www.transfermarkt.co.uk/kwesi-appiah/profil/spieler/121223
Watford FC,Giedrius Arlauskis,suspension,No eligibility,2016-09-01,2017-01-30,152 days,https://www.transfermarkt.co.uk/giedrius-arlauskis/profil/spieler/69001
Watford FC,Tommie Hoban,injury,Shoulder injury,2016-11-01,2017-03-01,121 days,https://www.transfermarkt.co.uk/tommie-hoban/profil/spieler/183161
Watford FC,Brice Dja Djedje,suspension,No eligibility,2016-09-01,2017-06-30,303 days,https://www.transfermarkt.co.uk/brice-dja-djedje/profil/spieler/93690
Watford FC,Valon Behrami,injury,Hamstring injury,2017-03-18,2017-08-18,154 days,https://www.transfermarkt.co.uk/valon-behrami/profil/spieler/21905
Watford FC,Juan Carlos Paredes,suspension,No eligibility,2016-09-01,2017-01-30,152 days,https://www.transfermarkt.co.uk/juan-carlos-paredes/profil/spieler/100507
Watford FC,Roberto Pereyra,injury,Knee injury,2016-12-14,2017-05-31,169 days,https://www.transfermarkt.co.uk/roberto-pereyra/profil/spieler/112302
Watford FC,Kenedy,injury,Knee injury,2016-10-10,2017-01-27,110 days,https://www.transfermarkt.co.uk/kenedy/profil/spieler/281404
Watford FC,Isaac Success,injury,Facial fracture,2016-04-22,2016-08-26,127 days,https://www.transfermarkt.co.uk/isaac-success/profil/spieler/295331
Watford FC,Mauro Zárate,injury,Cruciate ligament tear,2017-02-25,2017-09-23,211 days,https://www.transfermarkt.co.uk/mauro-zarate/profil/spieler/26456
Swansea City,Jefferson Montero,injury,Torn muscle fiber,2017-05-01,2017-09-20,143 days,https://www.transfermarkt.co.uk/jefferson-montero/profil/spieler/77932
Swansea City,Nathan Dyer,injury,Achilles tendon rupture,2017-02-13,2017-09-22,222 days,https://www.transfermarkt.co.uk/nathan-dyer/profil/spieler/37011
Swansea City,Marvin Emnes,suspension,Suspended,2016-08-12,2017-02-01,174 days,https://www.transfermarkt.co.uk/marvin-emnes/profil/spieler/37787
Middlesbrough FC,Bernardo Espinosa,injury,Knee injury,2016-01-10,2016-08-27,231 days,https://www.transfermarkt.co.uk/bernardo-espinosa/profil/spieler/64598
Middlesbrough FC,James Husband,injury,Shoulder injury,2016-07-09,2017-04-04,270 days,https://www.transfermarkt.co.uk/james-husband/profil/spieler/167393
Middlesbrough FC,Grant Leadbitter,injury,Inguinal hernia,2016-05-10,2016-10-28,172 days,https://www.transfermarkt.co.uk/grant-leadbitter/profil/spieler/13796
West Bromwich Albion,Marc Wilson,injury,Inner ligament injury,2016-01-30,2016-08-30,214 days,https://www.transfermarkt.co.uk/marc-wilson/profil/spieler/30456
West Bromwich Albion,Chris Brunt,injury,Cruciate ligament tear,2016-02-29,2016-10-24,239 days,https://www.transfermarkt.co.uk/chris-brunt/profil/spieler/36814
West Bromwich Albion,Saido Berahino,injury,Fitness,2016-10-12,2017-01-20,101 days,https://www.transfermarkt.co.uk/saido-berahino/profil/spieler/128897
AFC Bournemouth,Adam Federici,injury,Knee injury,2017-01-24,2017-06-30,158 days,https://www.transfermarkt.co.uk/adam-federici/profil/spieler/4233
AFC Bournemouth,Tyrone Mings,injury,Cruciate ligament tear,2015-08-29,2016-09-19,388 days,https://www.transfermarkt.co.uk/tyrone-mings/profil/spieler/253677
AFC Bournemouth,Marc Wilson,injury,Inner ligament injury,2016-01-30,2016-08-30,214 days,https://www.transfermarkt.co.uk/marc-wilson/profil/spieler/30456
AFC Bournemouth,Rhoys Wiggins,injury,Knee injury,2016-10-30,2018-06-30,609 days,https://www.transfermarkt.co.uk/rhoys-wiggins/profil/spieler/42298
AFC Bournemouth,Jack Wilshere,injury,Hairline fracture in the fibula,2017-04-16,2017-08-06,113 days,https://www.transfermarkt.co.uk/jack-wilshere/profil/spieler/74223
AFC Bournemouth,Lewis Cook,injury,Ankle injury,2016-08-16,2017-03-13,210 days,https://www.transfermarkt.co.uk/lewis-cook/profil/spieler/249089
AFC Bournemouth,Callum Wilson,injury,Cruciate ligament tear,2017-02-02,2017-10-20,261 days,https://www.transfermarkt.co.uk/callum-wilson/profil/spieler/123682
