Team,Player,URL
Tottenham Hotspur,Michel Vorm,https://www.transfermarkt.co.uk/michel-vorm/profil/spieler/26276
Tottenham Hotspur,Pau López,https://www.transfermarkt.co.uk/pau-lopez/profil/spieler/286415
Tottenham Hotspur,Luke McGee,https://www.transfermarkt.co.uk/luke-mcgee/profil/spieler/183301
Tottenham Hotspur,Alfie Whiteman,https://www.transfermarkt.co.uk/alfie-whiteman/profil/spieler/282823
Tottenham Hotspur,Toby Alderweireld,https://www.transfermarkt.co.uk/toby-alderweireld/profil/spieler/42710
Tottenham Hotspur,Jan Vertonghen,https://www.transfermarkt.co.uk/jan-vertonghen/profil/spieler/43250
Tottenham Hotspur,Eric Dier,https://www.transfermarkt.co.uk/eric-dier/profil/spieler/175722
Tottenham Hotspur,Ben Davies,https://www.transfermarkt.co.uk/ben-davies/profil/spieler/192765
Tottenham Hotspur,Federico Fazio,https://www.transfermarkt.co.uk/federico-fazio/profil/spieler/45314
Tottenham Hotspur,Kevin Wimmer,https://www.transfermarkt.co.uk/kevin-wimmer/profil/spieler/122675
Tottenham Hotspur,Cameron Carter-Vickers,https://www.transfermarkt.co.uk/cameron-carter-vickers/profil/spieler/341049
Tottenham Hotspur,Anton Walkes,https://www.transfermarkt.co.uk/anton-walkes/profil/spieler/307763
Tottenham Hotspur,Danny Rose,https://www.transfermarkt.co.uk/danny-rose/profil/spieler/50174
Tottenham Hotspur,Kyle Walker,https://www.transfermarkt.co.uk/kyle-walker/profil/spieler/95424
Tottenham Hotspur,Kieran Trippier,https://www.transfermarkt.co.uk/kieran-trippier/profil/spieler/95810
Tottenham Hotspur,Kyle Walker-Peters,https://www.transfermarkt.co.uk/kyle-walker-peters/profil/spieler/341051
Tottenham Hotspur,Victor Wanyama,https://www.transfermarkt.co.uk/victor-wanyama/profil/spieler/77760
Tottenham Hotspur,Nabil Bentaleb,https://www.transfermarkt.co.uk/nabil-bentaleb/profil/spieler/245537
Tottenham Hotspur,Harry Winks,https://www.transfermarkt.co.uk/harry-winks/profil/spieler/249126
Tottenham Hotspur,Filip Lesniak,https://www.transfermarkt.co.uk/filip-lesniak/profil/spieler/186383
Tottenham Hotspur,Christian Eriksen,https://www.transfermarkt.co.uk/christian-eriksen/profil/spieler/69633
Tottenham Hotspur,Moussa Sissoko,https://www.transfermarkt.co.uk/moussa-sissoko/profil/spieler/46001
Tottenham Hotspur,Mousa Dembélé,https://www.transfermarkt.co.uk/mousa-dembele/profil/spieler/19368
Tottenham Hotspur,Ryan Mason,https://www.transfermarkt.co.uk/ryan-mason/profil/spieler/61834
Tottenham Hotspur,Tom Carroll,https://www.transfermarkt.co.uk/tom-carroll/profil/spieler/121279
Tottenham Hotspur,Josh Onomah,https://www.transfermarkt.co.uk/josh-onomah/profil/spieler/243589
Tottenham Hotspur,Luke Amos,https://www.transfermarkt.co.uk/luke-amos/profil/spieler/258912
Tottenham Hotspur,Dele Alli,https://www.transfermarkt.co.uk/dele-alli/profil/spieler/207929
Tottenham Hotspur,Heung-min Son,https://www.transfermarkt.co.uk/heung-min-son/profil/spieler/91845
Tottenham Hotspur,Georges-Kevin N'Koudou,https://www.transfermarkt.co.uk/georges-kevin-nkoudou/profil/spieler/215679
Tottenham Hotspur,Samuel Shashoua,https://www.transfermarkt.co.uk/samuel-shashoua/profil/spieler/387313
Tottenham Hotspur,Erik Lamela,https://www.transfermarkt.co.uk/erik-lamela/profil/spieler/111630
Tottenham Hotspur,Clinton N'Jie,https://www.transfermarkt.co.uk/clinton-njie/profil/spieler/241119
Tottenham Hotspur,Marcus Edwards,https://www.transfermarkt.co.uk/marcus-edwards/profil/spieler/314367
Tottenham Hotspur,Harry Kane,https://www.transfermarkt.co.uk/harry-kane/profil/spieler/132098
Tottenham Hotspur,Vincent Janssen,https://www.transfermarkt.co.uk/vincent-janssen/profil/spieler/207015
Tottenham Hotspur,Shayon Harrison,https://www.transfermarkt.co.uk/shayon-harrison/profil/spieler/345739
Arsenal FC,Wojciech Szczesny,https://www.transfermarkt.co.uk/wojciech-szczesny/profil/spieler/44058
